product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link,trending_score,tags
74021317,Cây Cam Ngọt Của Tôi,José Mauro de Vasconcelos,108000,64800,53075.0,Tiểu Thuyết,11481,5.0,244,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/5e/18/24/2a6154ba08df6ce6161c13f4303fa19e.jpg,46.74267935363791,"josé mauro de vasconcelos, tiểu thuyết"
184466860,Hành Tinh Của Một Kẻ Nghĩ Nhiều,Nguyễn Đoàn Minh Thư,86000,59900,7929.0,Sách tư duy - Kỹ năng sống,780,4.8,184,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/d7/99/24/17bff8d26027846b2d7478ad4ba83fea.jpg,31.97076071923049,"nguyễn đoàn minh thư, sách tư duy kỹ năng sống"
73787185,Những Tù Nhân Của Địa Lý,Tim Marshall,210000,126000,17896.0,Lĩnh vực khác,3623,4.8,430,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/8d/96/9e/c0c1f23db756d50b1944dff9c3988753.jpg,39.337601602381774,"tim marshall, lĩnh vực khác"
52789367,Nhà Giả Kim (Tái Bản 2020),Paulo Coelho,79000,47400,24668.0,Tác phẩm kinh điển,5131,5.0,228,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/45/3b/fc/aa81d0a534b45706ae1eee1e344e80d9.jpg,42.716253628677634,"paulo coelho, tác phẩm kinh điển"
147920903,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,Không rõ,135000,81000,10000.0,Tiểu Thuyết,1636,4.8,304,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/2f/b5/4e/a8208e9019c8510e8a8eebe06f50299c.jpg,35.522978771381446,"không rõ, tiểu thuyết"
3304875,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),Higashino Keigo,105000,63000,25272.0,Truyện ngắn - Tản văn - Tạp Văn,3791,4.8,358,Không rõ,https://salt.tikicdn.com/ts/product/dd/49/7f/ab94b8b2e35c49fc38b063fae4e8266a.jpg,39.55511454419958,"higashino keigo, truyện ngắn tản văn tạp văn"
167940010,Thao Túng Tâm Lý,Shannon Thomas,169000,103000,8152.0,Sách tư duy - Kỹ năng sống,785,4.8,328,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/90/49/97/ec88ab408c1997378344486c94dbac40.jpg,32.00139260366019,"shannon thomas, sách tư duy kỹ năng sống"
117238177,Thư Viện Nửa Đêm,Matt Haig,150000,90000,7166.0,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,1544,4.8,424,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/8e/32/3d/e4487c4c7e335bbda4f06dd54d8e35b8.jpg,35.24534010879286,"matt haig, truyện giả tưởng huyền bí phiêu lưu"
189643105,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,Lê Bảo Ngọc,128000,96000,4630.0,Sách tư duy - Kỹ năng sống,604,4.8,296,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/5b/96/23/348b84ca8e0d0b49bf9c8d9595336e69.jpg,30.745096598548038,"lê bảo ngọc, sách tư duy kỹ năng sống"
199216988,Càng Bình Tĩnh Càng Hạnh Phúc,Vãn Tình,139000,85180,3980.0,Sách tư duy - Kỹ năng sống,327,4.8,352,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/ca/b9/76/3496cc7fd438e19e0a5732cba25e0aee.png,27.80646532024389,"vãn tình, sách tư duy kỹ năng sống"
